0.018	0.0495	-0.3468	-0.036	0.0766	-0.2568	-0.0856	0.0811	-0.3198	-0.0826
-0.0082	0.0082	-0.1717	0.0082	-0.0136	-0.2425	0.1172	-0.0136	-0.1989	0.0175
-0.0623	0.0244	-0.29	0.0298	-0.0298	-0.2087	-0.0136	-0.0298	-0.2954	-0.1122
-0.0034	0.0834	-0.3166	0.0537	0.0514	-0.2869	0.0103	0.0217	-0.2914	0.063
0.0179	0.2054	-0.2411	0.0089	-0.0089	-0.2321	-0.1071	0.0536	-0.3571	0.0534
-0.0945	0	-0.2283	-0.0945	0	-0.2913	-0.0945	0.0472	-0.3228	-0.0248
0.1064	0.0213	-0.1915	-0.0496	-0.0355	-0.0922	-0.0213	0.1348	-0.2908	0.1868
-0.0435	0.0725	-0.3333	0.029	0.087	-0.1304	0.1449	0.058	-0.1594	0.0851
-0.0469	0.0625	-0.2656	0.0469	-0.0313	-0.3594	-0.0234	-0.0703	-0.2344	-0.1061
0.039	0.0349	-0.3758	-0.0349	-0.0144	-0.3429	-0.0021	-0.0637	-0.2936	0.0127
0.0148	0.0504	-0.3056	0.0682	0.0386	-0.3591	-0.0326	0.1157	-0.2404	-0.0303
-0.0125	-0.0025	-0.3566	-0.0075	0.0374	-0.2618	-0.0175	0.0324	-0.3267	0.0813
-0.0234	-0.0097	-0.3545	0.0234	0.0097	-0.3434	-0.0179	0.051	-0.3766	-0.0479
0.0948	0.1009	-0.2416	0.0765	0.0153	-0.2966	0.0092	-0.0031	-0.1743	0.0047
-0.0694	0.018	-0.2802	0.0951	-0.0283	-0.3676	0.0643	-0.1105	-0.3676	-0.0421
-0.0265	-0.0796	-0.4336	0.0265	-0.115	-0.2389	0.0796	-0.0265	-0.3097	-0.0385
-0.0205	-0.085	-0.3314	0.0205	-0.1026	-0.3314	0.0968	-0.1496	-0.4076	0.0278
-0.0376	-0.1128	-0.188	0.0526	0.0075	-0.2782	0.0526	-0.1278	-0.1729	0.0685
0.0206	-0.0147	-0.2271	0.0796	0.0088	-0.2271	0.0619	0.0088	-0.233	0.0857
0.0534	-0.1145	-0.2061	0.1145	-0.0382	-0.1298	0.0534	-0.084	-0.145	0
-0.06	-0.21	-0.31	-0.05	0.15	-0.24	0	-0.15	-0.33	0.0222
0.0031	0.1331	-0.2446	0.0402	0.1084	-0.3189	-0.0093	-0.0588	-0.1889	0.0854
0.0769	-0.0989	-0.2308	0.0769	-0.1429	-0.3187	0.033	-0.0769	-0.1648	0.2245
0.1278	0.0526	-0.218	0.0977	0.0827	-0.3383	-0.0376	0.0526	-0.3835	-0.0123
0.0106	-0.0745	-0.2979	-0.0745	-0.1064	-0.4149	0.0745	-0.0745	-0.3617	-0.0127
-0.15	0.1	-0.55	0	-0.2	-0.4	0.15	-0.05	-0.4	0.0667
0.0702	-0.0702	-0.1696	-0.0117	0.1053	-0.2164	0.0643	0.0409	-0.2281	0.095
0.1838	-0.0343	-0.2274	0.0903	-0.0031	-0.2025	0.19	0.0654	-0.2461	0.0708
-0.0541	-0.0135	-0.3514	-0.0405	0.0203	-0.4527	-0.0946	-0.027	-0.2838	-0.127
0.1698	-0.1321	-0.3962	0.1132	-0.0755	-0.3585	-0.0755	0.0566	-0.1887	0.1429
0.196	0.1894	-0.2425	0.2027	0.1827	-0.2292	0.1628	0.1296	-0.3223	0.1301
0.0438	0.0355	-0.3111	-0.0063	0.0689	-0.286	-0.048	-0.0438	-0.3069	-0.0895
0.0387	-0.0129	-0.2302	0.0203	0.0792	-0.2891	0.0608	0.0018	-0.267	0.0184
0.0643	0.0947	-0.1579	0.1205	0.0433	-0.2374	0.076	0.0784	-0.1485	0.0575
0.0811	0.0631	-0.3153	0.045	0.027	-0.2072	-0.045	-0.1351	-0.0991	0.0448
-0.0309	-0.0928	-0.299	0.0309	-0.1134	-0.0928	0.0309	-0.0103	-0.2784	-0.0588
0.0394	-0.0315	-0.2362	0.0551	0.0472	-0.3937	0.1339	-0.0394	-0.2441	0.1429
0.0191	-0.1083	-0.172	-0.0064	-0.0191	-0.0828	0.0318	0.0701	-0.1083	0.0291
0.0213	0.0638	-0.0213	0.1489	-0.0638	-0.1064	-0.0213	0.0426	-0.2553	0
-0.037	-0.0123	-0.1605	0.0864	0.0617	-0.3086	0.0123	0.2099	-0.037	0
-0.0351	0.0479	-0.246	0.1054	-0.016	-0.2077	-0.0671	-0.0096	-0.2843	0.0838
-0.0435	0.1522	-0.2681	0.0725	0.0435	-0.2319	0.1522	0.0217	-0.2754	-0.0276
-0.1954	-0.1724	-0.2644	-0.0115	-0.1034	-0.4253	-0.1034	0.0805	-0.1954	-0.0286
-0.0749	-0.0573	-0.2159	-0.0749	-0.1454	-0.163	-0.022	-0.0749	-0.1454	-0.1652
-0.0507	-0.0388	-0.2418	-0.009	-0.0746	-0.2358	0.0328	-0.0806	-0.3194	0.0482
-0.0326	0.1535	-0.2465	0.0884	0.0884	-0.3023	0.0419	-0.0512	-0.1907	-0.0365
0	0.0155	-0.2167	-0.0526	-0.0619	-0.2477	0.0712	-0.0836	-0.2632	0.0115
-0.0613	0.0236	-0.1604	0.033	-0.066	-0.1557	0.1604	-0.0189	-0.2453	0.0075
0	-0.0263	-0.2632	0.1053	-0.1447	-0.1711	0.0921	-0.0921	-0.3158	-0.0488
-0.0303	-0.0303	-0.2424	0.0303	0.1061	-0.2576	0	0	-0.1515	0.1899
